"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"URBANPROMISE AFTER SCHOOL PROGRAMS - CAMP AMEN";;"408 E 8th St";;"Wilmington";"DE";19801;"302-425-5502";;"NEW CASTLE";"joel@urbanpromise.org";;;"Joel";"Orr";;;"http://www.urbanpromise.org/";;"Monday - Friday";"3:00pm - 6:00pm";;;"UrbanPromise after school programs provide a safe, enriching and loving place for children between the critical hours of 3 to 6 pm.";"Homework assistance; Education enrichment; Recreation; Bible lessons; Hot meals; Committed relationships";;"YES";"NO";"http://urbanpromise.org/wp-content/uploads/logos/Urban-Promise-Remix_Final4.jpg";
"URBANPROMISE AFTER SCHOOL PROGRAMS - CAMP FREEDOM";;"2401 N. Thatcher Street";;"Wilmington";"DE";19802;"302-425-5502";;"NEW CASTLE";"tim@urbanpromise.org";;;"Tim";"Lewis";;;"http://www.urbanpromise.org/";;"Monday - Friday";"3:00pm - 6:00pm";;;"UrbanPromise after school programs provide a safe, enriching and loving place for children between the critical hours of 3 to 6 pm.";"Homework assistance; Education enrichment; Recreation; Bible lessons; Hot meals; Committed relationships";;"YES";"NO";"http://urbanpromise.org/wp-content/uploads/logos/Urban-Promise-Remix_Final4.jpg";
"URBANPROMISE AFTER SCHOOL PROGRAMS - CAMP HARMONY";;"2616 Carter Street";;"Wilmington";"DE";19802;"302-425-5502";;"NEW CASTLE";"salima@urbanpromise.org";;;"Salima";"Watson";;;"http://www.urbanpromise.org/";;"Monday - Friday";"3:00pm - 6:00pm";;;"UrbanPromise after school programs provide a safe, enriching and loving place for children between the critical hours of 3 to 6 pm.";"Homework assistance; Education enrichment; Recreation; Bible lessons; Hot meals; Committed relationships";;"YES";"NO";"http://urbanpromise.org/wp-content/uploads/logos/Urban-Promise-Remix_Final4.jpg";
"URBANPROMISE AFTER SCHOOL PROGRAMS - CAMP HOPE";;"455 Townsend St.";;"Wilmington";"DE";19801;"302-425-5502";;"NEW CASTLE";"emily@urbanpromise.org";;;"Emily";"Kennedy";;;"http://www.urbanpromise.org/";;"Monday - Friday";"3:00pm - 6:00pm";;;"UrbanPromise after school programs provide a safe, enriching and loving place for children between the critical hours of 3 to 6 pm.";"Homework assistance; Education enrichment; Recreation; Bible lessons; Hot meals; Committed relationships";;"YES";"NO";"http://urbanpromise.org/wp-content/uploads/logos/Urban-Promise-Remix_Final4.jpg";
"URBANPROMISE AFTER SCHOOL PROGRAMS - CAMP PROMISE";;"1502 W. 13th Street";;"Wilmington";"DE";19806;"302-425-5502";;"NEW CASTLE";"josh@urbanpromise.org";;;"Josh";"Gregor";;;"http://www.urbanpromise.org/";;"Monday - Friday";"3:00pm - 6:00pm";;;"UrbanPromise after school programs provide a safe, enriching and loving place for children between the critical hours of 3 to 6 pm.";"Homework assistance; Education enrichment; Recreation; Bible lessons; Hot meals; Committed relationships";;"YES";"NO";"http://urbanpromise.org/wp-content/uploads/logos/Urban-Promise-Remix_Final4.jpg";
"URBANPROMISE AFTER SCHOOL PROGRAMS - CAMP VICTORY";;"1012 French Street";;"Wilmington";"DE";19801;"302-425-5502";;"NEW CASTLE";"bethany@urbanpromise.org";;;"Bethany";"Gregor";;;"http://www.urbanpromise.org/";;"Monday - Friday";"3:00pm - 6:00pm";;;"UrbanPromise after school programs provide a safe, enriching and loving place for children between the critical hours of 3 to 6 pm.";"Homework assistance; Education enrichment; Recreation; Bible lessons; Hot meals; Committed relationships";;"YES";"NO";"http://urbanpromise.org/wp-content/uploads/logos/Urban-Promise-Remix_Final4.jpg";
"TODDLERS TECH INC CHILDCARE BEFORE & AFTER-SCHOOL PROGRAMS";;"2704 W 4th Street";;"Wilmington";"DE";19805;"302-655-4487";;"NEW CASTLE";"toddlerstech@comcast.net";;;;;;;"http://www.toddlerstechinc.com/";;;;;;"At our day care, we understand that you have to work to support your family, which is why we offer before and after-school services. We cater to children who attend another facility and ride the bus to school. You can drop your children off at our location in the morning and pick them up in the afternoon. Furthermore, the bus can drop them off here, and extended care options are available.";;;"YES";"NO";"http://www.toddlerstechinc.com/image/81160781.png";
"NEIGHBORHOOD HOUSE INC. AFTER SCHOOL PROGRAM";;"1218 B Street";;"Wilmington";"DE";19801;"302-658-5404";;"NEW CASTLE";;;;;;;;"http://neighborhoodhse.org/";;"Monday - Friday";"3:00pm - 5:30pm";;;"After School Homework Help, Summer Enrichment Camp, Extended Hours Programs are all part of our Youth Service Programs that provide a structured environment where youth have access to computers, socialize and have continued learning experiences in a safe and caring environment. ";"Tutoring/Homework Help; Arts and Crafts; Nutritious Hot Meal; Sports; Computer Lab; Enrichment Trips; Reading Program Book Club; 4‐H Program";;"YES";"NO";"http://neighborhoodhse.org/wp-content/uploads/2015/06/HeaderLogo.jpg";
"BEFORE/AFTER-SCHOOL & SCHOOL'S OUT PROGRAMS AT WMS";;"1400 Harvey Road";;"Wilmington";"DE";19810;"302-475-0555";;"NEW CASTLE";"cass_winner@wmsde.org";;;"Cass";"Winner";;;"http://www.wmsde.org/";;"Monday - Friday";"7:00am until the start of the school day | 3:00pm - 6:00pm ";;;"Wilmington Montessori School offers before- and after-school care, ""School's Out"" child care and after-school special programs including drama, dance, art, intramural sports, science, Girl Scouts and yoga. Child-care and specials are available to WMS students and Brandywine School District students. Before- and After-School Child-Care: WMS offers care for students of all ages for the hours before and after school. Before-school child-care opens at 7 a.m. and after-care is open from 3 until 6 p.m. For toddlers and preschoolers, these programs are based in the regular Montessori classrooms, led by experienced staff members who are also part of the children’s school-day staff team. In the elementary years, programs are led by year-round WMS staff members. Each group is based in a room dedicated to and designed for the needs of older children beyond the classroom day. We provide snacks, organized games and projects, a place to relax, and time and space to run and play. Supervised homework time and assistance is offered Monday through Thursday from 3:30 to 4:30 p.m. ""School's Out"" Days: On days on which regular classes are closed (conference days, professional days, spring break, selected holidays and snow days on which it's safe for our staff to travel to work), full-day child care is available in the same environments in which before- and after-school care is based. ";;;"YES";"NO";"http://www.wmsde.org/customized/uploads/newsitetemplateimages/logo.jpg";"Wilmington Montessori School, Brandywine School District Schools"
"NEWARK AFTER SCHOOL PROGRAM";;"1150 Kirkwood Hwy";;"Newark";"DE";19711;"302-737-9500";;"NEW CASTLE";;;;;;;"YES";"http://newarkafterschoolprogram.com/";;"Monday - Friday";"end of the school day until 6:00pm ";;;"This after school program has incredible value! You are going to love the activities that are included! Your child will have a blast spending time with friends and participating in the following fun and safe after school activities: Martial Arts Classes! Additional FUN Sports Activities! Game Rooms! Character Development! We are not a daycare, county park, or babysitter. We are much better! From the moment you join our after school team, you and your child will feel welcome because our after school program students are like family! We focus on your child’s success in School, Sports, and life! Other after school programs “babysit” their kids, but we inspire our kids to be their BEST! We only hire the BEST coaches and they truly care about your child’s success! Our after school program and summer camp is operated by talented coaches who have years of experience and who have all passed a level 2 background checks! (The same background check required to be a School Teacher in Newark, DE.)";;;"YES";"NO";;"Linden Hill Elementary, Maclary Elementary. Aspira Academy, Newark Charter"
