"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"Lafayette Family YMCA Before and After-School Care @ Edgelea Elementary School";;"2910 South 18th Street";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"7:00am - 9:00am | 2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"Before School Only: Full-Time (4-5 Days) $45, 3 Days $35, 2 Days $25; After School Only: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40; Before & After School:  Full-Time (4-5 Days) $75, 3 Days $65, 2 Days $55";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA Before and After-School Care @ Hershey Elementary School";;"7521 E 300 N";;"Lafayette";"IN";47905;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"7:00am - 9:00am | 2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"Before School Only: Full-Time (4-5 Days) $45, 3 Days $35, 2 Days $25; After School Only: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40; Before & After School:  Full-Time (4-5 Days) $75, 3 Days $65, 2 Days $55";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA Before and After-School Care @ Mayflower Mill Elementary School";;"200 E 500 S";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"7:00am - 9:00am | 2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"Before School Only: Full-Time (4-5 Days) $45, 3 Days $35, 2 Days $25; After School Only: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40; Before & After School:  Full-Time (4-5 Days) $75, 3 Days $65, 2 Days $55";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA Before and After-School Care @ Mintonye Elementary School";;"2000 W 800 S";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"7:00am - 9:00am | 2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"Before School Only: Full-Time (4-5 Days) $45, 3 Days $35, 2 Days $25; After School Only: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40; Before & After School:  Full-Time (4-5 Days) $75, 3 Days $65, 2 Days $55";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA Before and After-School Care @ Wea Ridge Elementary School";;"1333 East 430 South";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"7:00am - 9:00am | 2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"Before School Only: Full-Time (4-5 Days) $45, 3 Days $35, 2 Days $25; After School Only: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40; Before & After School:  Full-Time (4-5 Days) $75, 3 Days $65, 2 Days $55";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA Before and After-School Care @ Woodland Elementary School";;"3200 E 450 S";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"7:00am - 9:00am | 2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"Before School Only: Full-Time (4-5 Days) $45, 3 Days $35, 2 Days $25; After School Only: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40; Before & After School:  Full-Time (4-5 Days) $75, 3 Days $65, 2 Days $55";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA Before and After-School Care @ Wyandotte Elementary School";;"5865 E 50 S";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"7:00am - 9:00am | 2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"Before School Only: Full-Time (4-5 Days) $45, 3 Days $35, 2 Days $25; After School Only: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40; Before & After School:  Full-Time (4-5 Days) $75, 3 Days $65, 2 Days $55";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA After-School Care @ Amelia Earhart Elementary";;"3280 South 9th Street";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"After School: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA After-School Care @ Glen Acres Elementary";;"3767 Kimberly Drive";;"Lafayette";"IN";47905;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"After School: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
"Lafayette Family YMCA After-School Care @ Miami Elementary";;"2401 Beck Lane";;"Lafayette";"IN";47909;"765-474-3448";;"TIPPECANOE";"claire@lafayettefamilyymca.org";;;"Claire";"Marshall";"5–12";;"http://www.lafayettefamilyymca.org/";;"Monday - Friday";"2:45pm - 6:00pm";;;"Don’t let kids spend afternoons at home. Send them to the Y for our childcare program! Our fun and engaging after-school program offers a jam-packed line up of homework help, art activities, sports, group games, swimming, and so much more. Parents, the best part is you get peace of mind that your children are safe, having fun while you finish your work day.";;"After School: Full-Time (4-5 Days) $60, 3 Days $50, 2 Days $40";"YES";"NO";"http://www.lafayettefamilyymca.org/wp-content/uploads/2015/10/Lafayette-Family-YMCA-logo-web_v3.png";
