"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"R.I.S.E AFTER SCHOOL PROGRAM";;"330 Windsor Avenue";;"Windsor";"CT";"06095";"860-285-1990";;"HARTFORD";;;;;;;"YES";"http://www.townofwindsorct.com/";;"Monday - Friday";"3:00pm - 6:00pm for elementary children; 2:45pm - 5:30pm for 6th grade students";;;"The R.I.S.E. After-School program is for elementary school students and R.I.S.E. ABOVE for 6th graders provides an array of exciting and stimulating activities for students. The program starts September 1st and follows the Windsor Public School Calendar.";"Homework Time; Group Games; Teambuilding Activities; Sports; Arts & Crafts; Adventure; Science; Healthy Lifestyle Planning Program; Healthy Snack";;"YES";"NO";;
"KALEIDOSCOPE KIDS AFTER SCHOOL";;"602 Ridgebury Rd";;"Ridgefield";"CT";"06877";"203-748-1177";;"FAIRFIELD";;;;;;;;"http://www.kaleidoscopekidschildcare.com/";;;;;;"Providing engaging and challenging activities that promote the development of academic, social, and personal skills. A homework area focuses children on working through their assignments allowing for more family time at home. Teachers keep informed about special school projects, help with homework and value the children's academic efforts. Trained, qualified, and enthusiastic staff members possess a genuine love for children.";"n/a";;"YES";"NO";;
"EDUCATION CONNECTION SCHOOL AGE PROGRAMS - BASES @ BARKHAMSTED ELEMENTARY SCHOOL";;"65 Ripley Hill Road ";;"Barkhamsted";"CT";" 06063";"860-567-0863";;"LITCHFIELD";"schoolage@educationconnection.org";;;;;;;"http://educationconnection.org/";;"Monday - Friday";"end of the school day until 6:00pm";;;"The EDUCATION CONNECTION School Age (SA) Programs exist to provide a safe, healthy, worry-free environment for the child who cannot be home with a parent. The focus is to meet the developmental needs of each individual child through enriching and quality experiences that enhance self-esteem and promote success. The SA Programs provide before and after school service, as well as, technical assistance to other districts that are considering similar efforts. In addition, the program staff offer individualized training opportunities in staff development and in other specialized areas. Consulting services are available to agencies and districts.";"Nutritious Snack, Arts & Crafts, Indoor & Outdoor Games, Free Play, Quiet Time, Homework Time, Literacy & STEAM (Science, Technology, Engineering, Arts & Math) Activities, Enrichment Activities";"Students attending Barkhamsted Elementary School $18.00 per afternoon; Students attending Hartland Elementary School $16.00 per afternoon; Reductions for 2nd and 3rd child. Non-refundable Registration Fee: $35 per child/$50 per family. Non-refundable Deposit: $100 for the 1st child ($75 for 2nd & $50 for 3rd child). Your deposit will be applied to your account at the end of the school year, or upon your confirmed withdrawal.";"YES";"NO";"http://educationconnection.org/images/template/education-connection-logo.png";"Barkhamsted Elementary School; Hartland Elementary School"
"EDUCATION CONNECTION SCHOOL AGE PROGRAMS - BASES @ HUCKLEBERRY HILL ELEMENTARY ";;"100 Candlewood Lake Road";;"Brookfield";"CT";"06804";"860-567-0863";;"FAIRFIELD";"schoolage@educationconnection.org";;;;;;;"http://educationconnection.org/";;"Monday - Friday";"3:00pm - 6:00pm";;;"The EDUCATION CONNECTION School Age (SA) Programs exist to provide a safe, healthy, worry-free environment for the child who cannot be home with a parent. The focus is to meet the developmental needs of each individual child through enriching and quality experiences that enhance self-esteem and promote success. The SA Programs provide before and after school service, as well as, technical assistance to other districts that are considering similar efforts. In addition, the program staff offer individualized training opportunities in staff development and in other specialized areas. Consulting services are available to agencies and districts.";"Nutritious Snack, Arts & Crafts, Indoor & Outdoor Games, Free Play, Quiet Time, Homework Time, Literacy & STEAM (Science, Technology, Engineering, Arts & Math) Activities, Enrichment Activities";"Students attending Center and Huckleberry Hill Elementary Schools $17.00 per afternoon; Students attending Whisconier Middle School $18.00 per afternoon. Reductions for 2nd and 3rd child. Non-refundable Registration Fee: $35 per child/$50 per family. Non-refundable Deposit: $100 for the 1st child ($75 for 2nd & $50 for 3rd child). Your deposit will be applied to your account at the end of the school year, or upon your confirmed withdrawal.";"YES";"NO";"http://educationconnection.org/images/template/education-connection-logo.png";"Center School; Huckleberry Hill Elementary School; Whisconier Middle School"
"EDUCATION CONNECTION SCHOOL AGE PROGRAMS - BASES @ HARWINTON CONSOLIDATED SCHOOL";;"115 Litchfield Rd.";;"Harwinton";"CT";" 06791";"860-567-0863";;"LITCHFIELD";"schoolage@educationconnection.org";;;;;;;"http://educationconnection.org/";;"Monday - Friday";"6:30am until the start of the school day | end of the school day until 6:00pm";;;"The EDUCATION CONNECTION School Age (SA) Programs exist to provide a safe, healthy, worry-free environment for the child who cannot be home with a parent. The focus is to meet the developmental needs of each individual child through enriching and quality experiences that enhance self-esteem and promote success. The SA Programs provide before and after school service, as well as, technical assistance to other districts that are considering similar efforts. In addition, the program staff offer individualized training opportunities in staff development and in other specialized areas. Consulting services are available to agencies and districts.";"Nutritious Snack, Arts & Crafts, Indoor & Outdoor Games, Free Play, Quiet Time, Homework Time, Literacy & STEAM (Science, Technology, Engineering, Arts & Math) Activities, Enrichment Activities";;"YES";"NO";"http://educationconnection.org/images/template/education-connection-logo.png";"Harwinton Consolidated School; Har-Bur Middle School "
"EDUCATION CONNECTION SCHOOL AGE PROGRAMS - BASES @ LITCHFIELD CENTER SCHOOL";;"125 West St.";;"Litchfield";"CT";" 06759";"860-567-0863";;"LITCHFIELD";"schoolage@educationconnection.org";;;;;;;"http://educationconnection.org/";;"Monday - Friday";"end of the school day until 6:00pm";;;"The EDUCATION CONNECTION School Age (SA) Programs exist to provide a safe, healthy, worry-free environment for the child who cannot be home with a parent. The focus is to meet the developmental needs of each individual child through enriching and quality experiences that enhance self-esteem and promote success. The SA Programs provide before and after school service, as well as, technical assistance to other districts that are considering similar efforts. In addition, the program staff offer individualized training opportunities in staff development and in other specialized areas. Consulting services are available to agencies and districts.";"Nutritious Snack, Arts & Crafts, Indoor & Outdoor Games, Free Play, Quiet Time, Homework Time, Literacy & STEAM (Science, Technology, Engineering, Arts & Math) Activities, Enrichment Activities";"$16.00 per afternoon. Reductions for 2nd and 3rd child. Non-refundable Registration Fee: $35 per child/$50 per family. Non-refundable Deposit: $100 for the 1st child ($75 for 2nd & $50 for 3rd child). Your deposit will be applied to your account at the end of the school year, or upon your confirmed withdrawal.";"YES";"NO";"http://educationconnection.org/images/template/education-connection-logo.png";"Litchfield Center School; Litchfield Intermediate School "
"EDUCATION CONNECTION SCHOOL AGE PROGRAMS - BASES @ ANN ANTOLINI SCHOOL";;"30 Antolini Rd";;"New Hartford";"CT";" 06057";"860-567-0863";;"LITCHFIELD";"schoolage@educationconnection.org";;;;;;;"http://educationconnection.org/";;"Monday - Friday";"end of the school day until 6:00pm";;;"The EDUCATION CONNECTION School Age (SA) Programs exist to provide a safe, healthy, worry-free environment for the child who cannot be home with a parent. The focus is to meet the developmental needs of each individual child through enriching and quality experiences that enhance self-esteem and promote success. The SA Programs provide before and after school service, as well as, technical assistance to other districts that are considering similar efforts. In addition, the program staff offer individualized training opportunities in staff development and in other specialized areas. Consulting services are available to agencies and districts.";"Nutritious Snack, Arts & Crafts, Indoor & Outdoor Games, Free Play, Quiet Time, Homework Time, Literacy & STEAM (Science, Technology, Engineering, Arts & Math) Activities, Enrichment Activities";"Students attending Ann Antolini School $19.00 per afternoon; Students attending New Hartford Elementary School $17.00 per afternoon. Reductions for 2nd and 3rd child. Non-refundable Registration Fee: $35 per child/$50 per family. Non-refundable Deposit: $100 for the 1st child ($75 for 2nd & $50 for 3rd child). Your deposit will be applied to your account at the end of the school year, or upon your confirmed withdrawal.";"YES";"NO";"http://educationconnection.org/images/template/education-connection-logo.png";"Ann Antolini School; New Hartford Elementary School"
"EDUCATION CONNECTION SCHOOL AGE PROGRAMS - BASES @ REED INTERMEDIATE";;"3 Trades Ln.";;"Newtown";"CT";"06470";"860-567-0863";;"FAIRFIELD";"schoolage@educationconnection.org";;;;;;;"http://educationconnection.org/";;"Monday - Friday";"end of the school day until 6:00pm";;;"The EDUCATION CONNECTION School Age (SA) Programs exist to provide a safe, healthy, worry-free environment for the child who cannot be home with a parent. The focus is to meet the developmental needs of each individual child through enriching and quality experiences that enhance self-esteem and promote success. The SA Programs provide before and after school service, as well as, technical assistance to other districts that are considering similar efforts. In addition, the program staff offer individualized training opportunities in staff development and in other specialized areas. Consulting services are available to agencies and districts.";"Nutritious Snack, Arts & Crafts, Indoor & Outdoor Games, Free Play, Quiet Time, Homework Time, Literacy & STEAM (Science, Technology, Engineering, Arts & Math) Activities, Enrichment Activities";"$19.00 per afternoon. Reductions for 2nd and 3rd child. Non-refundable Registration Fee: $35 per child/$50 per family. Non-refundable Deposit: $100 for the 1st child ($75 for 2nd & $50 for 3rd child). Your deposit will be applied to your account at the end of the school year, or upon your confirmed withdrawal.";"YES";"NO";"http://educationconnection.org/images/template/education-connection-logo.png";"Reed Intermediate; Newtown Middle School"
"OUR LADY OF MOUNT CARMEL SCHOOL BEFORE AND AFTER CARE PROGRAM";;"645 Congress Ave";;"Waterbury";"CT";" 06708";"203-755-6809";;"NEW HAVEN";"info@mtcarmelschool.net";;;;;;;"http://mtcarmelschool.net/";;"Monday - Friday";"6:30am until the start of the school day | end of the school day until 5:45pm";;;"This program is available before and after school for students in grades Pre-K3 through Grade 8. Our program is an extension of our school day. ";"n/a";;"YES";"NO";;
"MANSFIELD PARKS & RECREATION AFTER-SCHOOL FRIENDS PROGRAM @ MANSFIELD COMMUNITY CENTER";;"10 South Eagleville Rd.";;"Mansfield";"CT";" 06268";"860-429-3015";6107;"TOLLAND";"Jared.Redmond@mansfieldct.org";;;"Jared";"Redmond";;"YES";"http://www.mansfieldct.gov/";;"Monday - Friday";"end of the school day until 6:00pm";;;"The Before/After-School Friends Program offers a safe, fun and relaxed atmosphere for children at the end of the school day. The program is for children whose parents want them to join special activities in a peer setting, or are unable to care for them after school. The program begins at the close of school at  Southeast  and  Vinton locations or Community Center participants are bused from their schools  daily. The  program concludes at 6 p.m. each day. All children are offered daily snacks and beverages upon arrival to the program. The Before/After-School Friends Program designs activities to provide children with experiences that enhance physical, emotional and social growth. Children not only develop peer relationships but also develop a connection with the staff who is sensitive to their needs and interests. Children learn to resolve conflicts and develop social skills needed for successful group interaction in future settings. The Before/After-School Friends Program consists of options based on each child’s interests, wants and needs. The weekly schedule can include activities such as arts and crafts, performing arts, sports, outdoor exploration, creative group games and special themed events. We encourage the children and staff to be involved in planning together. The Before/After-School Friends Program recognizes individuality in all children as well as their need to identify with a group to experience a sense of belonging. We encourage cooperation between all participants at our program. We feel daily communication with parents and staff is important to keep you up to date on how your child is doing with Before/After School Friends. ";"Arts and Crafts; Performing Arts; Sports; Outdoor Exploration; Creative Group Games; Special Themed Events, etc.";"Register for specific days of the week each month: $13 each afternoon. Drop-in: $16 each afternoon";"YES";"NO";;
