"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"LITTLE CLIPPERS SCHOOL BASED BASP @ TIFFIN ELEMENTARY";;"104 N PARK RD";;"TIFFIN";"IA";52340;"319-545-4033";;"JOHNSON";"littleclippers@southslope.net";;;;;;;"http://www.littleclippers.net/";;"Monday - Friday";"Before School: 6:30am - 7:45am; After School: 3:10pm - 5:30pm, Wed: 1:10pm-5:30pm";;;"Little Clippers provides several school based programs located in each Elementary in the Clear Creek Amana Community School District. Each Program provides age appropriate curriculum and learning materials with flexible schedules to accommodate each child in our programs. Weekly lesson plans are meticulously organized out to benefit each child providing them with activities and opportunities to promote practice in all necessary (age appropriate) skills.";;"$50 registration fee ($25.00 for returning enrolees); Before only: $70 monthly; After school only: $140 monthly; Wed Only: $45 monthly; Before and After:  $190 monthly; Preschool rates: $242 monthly";"YES";"NO";"http://nebula.wsimg.com/fca335fe0311acee39d57a6a2592fd89?AccessKeyId=BD81CD7CD35A79B04599&disposition=0&alloworigin=1";
"LITTLE CLIPPERS SCHOOL BASED BASP @ NORTH BEND ELEMENTARY";;"2230 ST ANDREWS DRIVE";;"NORTH LIBERTY";"IA";52317;"319-545-4033";;"JOHNSON";"littleclippers@southslope.net";;;;;;;"http://www.littleclippers.net/";;"Monday - Friday";"Before School: 6:30am - 7:45am; After School: 3:10pm - 5:30pm, Wed: 1:10pm-5:30pm";;;"Little Clippers provides several school based programs located in each Elementary in the Clear Creek Amana Community School District. Each Program provides age appropriate curriculum and learning materials with flexible schedules to accommodate each child in our programs. Weekly lesson plans are meticulously organized out to benefit each child providing them with activities and opportunities to promote practice in all necessary (age appropriate) skills.";;"$50 registration fee ($25.00 for returning enrolees); Before only: $70 monthly; After school only: $140 monthly; Wed Only: $45 monthly; Before and After:  $190 monthly; Preschool rates: $242 monthly";"YES";"NO";"http://nebula.wsimg.com/fca335fe0311acee39d57a6a2592fd89?AccessKeyId=BD81CD7CD35A79B04599&disposition=0&alloworigin=1";
"LITTLE CLIPPERS SCHOOL BASED BASP @ CLEAR CREEK ELEMENTARY";;"230 W WILSON";;"OXFORD";"IA";52322;"319-545-4033";;"JOHNSON";"littleclippers@southslope.net";;;;;;;"http://www.littleclippers.net/";;"Monday - Friday";"Before School: 6:30am - 7:45am; After School: 3:10pm - 5:30pm, Wed: 1:10pm-5:30pm";;;"Little Clippers provides several school based programs located in each Elementary in the Clear Creek Amana Community School District. Each Program provides age appropriate curriculum and learning materials with flexible schedules to accommodate each child in our programs. Weekly lesson plans are meticulously organized out to benefit each child providing them with activities and opportunities to promote practice in all necessary (age appropriate) skills.";;"$50 registration fee ($25.00 for returning enrolees); Before only: $70 monthly; After school only: $140 monthly; Wed Only: $45 monthly; Before and After:  $190 monthly; Preschool rates: $242 monthly";"YES";"NO";"http://nebula.wsimg.com/fca335fe0311acee39d57a6a2592fd89?AccessKeyId=BD81CD7CD35A79B04599&disposition=0&alloworigin=1";
"LITTLE CLIPPERS SCHOOL BASED BASP @ AMANA ELEMENTARY";;"3023 220TH TRAIL";;"AMANA";"IA";52203;"319-545-4033";;"IOWA";"littleclippers@southslope.net";;;;;;;"http://www.littleclippers.net/";;"Monday - Friday";"Before School: 6:30am - 7:45am; After School: 3:10pm - 5:30pm, Wed: 1:10pm-5:30pm";;;"Little Clippers provides several school based programs located in each Elementary in the Clear Creek Amana Community School District. Each Program provides age appropriate curriculum and learning materials with flexible schedules to accommodate each child in our programs. Weekly lesson plans are meticulously organized out to benefit each child providing them with activities and opportunities to promote practice in all necessary (age appropriate) skills.";;"$50 registration fee ($25.00 for returning enrolees); Before only: $70 monthly; After school only: $140 monthly; Wed Only: $45 monthly; Before and After:  $190 monthly; Preschool rates: $242 monthly";"YES";"NO";"http://nebula.wsimg.com/fca335fe0311acee39d57a6a2592fd89?AccessKeyId=BD81CD7CD35A79B04599&disposition=0&alloworigin=1";
"KIDS INC BEFORE AND AFTER SCHOOL PROGRAMS @ EMERSON ELEMENTARY SCHOOL";;"1400 10TH AVE";;"MARION";"IA";52302;"319-929-0145";;"LINN";;;;;;;;"http://kidsincia.com/";;;;;;"Kids Inc. is a leading provider of school based before and after school programs and summer camps. The Before and After School Programs by Kids Inc. offer: Use of school facilities and outside equipment, providing a wide variety of activities; Daily after school nutritional snack; Coverage of scheduled in-service days, holiday breaks, early dismissals, late starts, and weather related cancellations (an additional fee may apply).";;;"YES";"NO";"http://kidsincia.com/files/2016/07/LOGO.png";
"KIDS INC BEFORE AND AFTER SCHOOL PROGRAMS @ FRANCIS MARION INTERMEDIATE";;"2301 3RD AVENUE";;"MARION";"IA";52302;"319-929-0145";;"LINN";;;;;;;;"http://kidsincia.com/";;;;;;"Kids Inc. is a leading provider of school based before and after school programs and summer camps. The Before and After School Programs by Kids Inc. offer: Use of school facilities and outside equipment, providing a wide variety of activities; Daily after school nutritional snack; Coverage of scheduled in-service days, holiday breaks, early dismissals, late starts, and weather related cancellations (an additional fee may apply).";;;"YES";"NO";"http://kidsincia.com/files/2016/07/LOGO.png";
"KIDS INC BEFORE AND AFTER SCHOOL PROGRAMS @ STARRY ELEMENTARY SCHOOL";;"700 15TH ST";;"MARION";"IA";52302;"319-929-0145";;"LINN";;;;;;;;"http://kidsincia.com/";;;;;;"Kids Inc. is a leading provider of school based before and after school programs and summer camps. The Before and After School Programs by Kids Inc. offer: Use of school facilities and outside equipment, providing a wide variety of activities; Daily after school nutritional snack; Coverage of scheduled in-service days, holiday breaks, early dismissals, late starts, and weather related cancellations (an additional fee may apply).";;;"YES";"NO";"http://kidsincia.com/files/2016/07/LOGO.png";
"KIDS INC BEFORE AND AFTER SCHOOL PROGRAMS @ C ST CENTER";;"6340 MUIRFIELD DR";;"CEDAR RAPIDS";"IA";52404;"319-929-0145";;"LINN";;;;;;;;"http://kidsincia.com/";;"Monday - Friday";"6:30am - school starts | after school - 6:00pm ";;;"Kids Inc. is a leading provider of school based before and after school programs and summer camps. The Before and After School Programs by Kids Inc. offer: Use of school facilities and outside equipment, providing a wide variety of activities; Daily after school nutritional snack; Coverage of scheduled in-service days, holiday breaks, early dismissals, late starts, and weather related cancellations (an additional fee may apply).";;;"YES";"NO";"http://kidsincia.com/files/2016/07/LOGO.png";
"KIDS INC BEFORE AND AFTER SCHOOL PROGRAMS @ MARION CENTER";;"1100 35TH STREET";;"MARION";"IA";52302;"319-929-0145";;"LINN";;;;;;;;"http://kidsincia.com/";;"Monday - Friday";"6:30am - school starts | after school - 6:00pm ";;;"Kids Inc. is a leading provider of school based before and after school programs and summer camps. The Before and After School Programs by Kids Inc. offer: Use of school facilities and outside equipment, providing a wide variety of activities; Daily after school nutritional snack; Coverage of scheduled in-service days, holiday breaks, early dismissals, late starts, and weather related cancellations (an additional fee may apply).";;;"YES";"NO";"http://kidsincia.com/files/2016/07/LOGO.png";
"KIDS INC BEFORE AND AFTER SCHOOL PROGRAMS @ CORALVILLE CENTER";;"2060 12TH AVE";;"CORALVILLE";"IA";52241;"319-929-0145";;"JOHNSON";;;;;;;;"http://kidsincia.com/";;"Monday - Friday";"6:30am - school starts | after school - 6:00pm ";;;"Kids Inc. is a leading provider of school based before and after school programs and summer camps. The Before and After School Programs by Kids Inc. offer: Use of school facilities and outside equipment, providing a wide variety of activities; Daily after school nutritional snack; Coverage of scheduled in-service days, holiday breaks, early dismissals, late starts, and weather related cancellations (an additional fee may apply).";;;"YES";"NO";"http://kidsincia.com/files/2016/07/LOGO.png";
