"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"Whitcomb KinderCare";;"1034 North Whitcomb Ave.";;"Indianapolis";"IN";46224;"317-247-1195";;"MARION";;;;"Shawnna";"Logan";"5–12";"YES";"http://www.kindercare.com/";"NAEYC";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"Beech Grove KinderCare";;"52 North 18th Ave.";;"Beech Grove";"IN";46107;"317-787-7343";;"MARION";;;;"Amanda";"Bennett";"5–12";"YES";"http://www.kindercare.com/";"NECPA";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"High School Road KinderCare";;"4009 North High School Rd.";;"Indianapolis";"IN";46254;"317-293-2199";;"MARION";;;;"Reed";"Saylor";"5–12";"YES";"http://www.kindercare.com/";"NECPA, NAEYC";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"East 62nd KinderCare";;"4402 East 62nd St.";;"Indianapolis";"IN";46220;"317-251-5577";;"MARION";;;;"Amber";"Palmby";"5–12";"YES";"http://www.kindercare.com/";"NECPA";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"45th Street KinderCare";;"6901 East 45th St.";;"Indianapolis";"IN";46226;"317-546-3737";;"MARION";;;;"Patsy";"Fleming";"5–12";"YES";"http://www.kindercare.com/";"NECPA";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"Coronado KinderCare";;"29 N. Coronado Rd.";;"Indianapolis";"IN";46234;"317-271-0552";;"MARION";;;;"Whitney";"Dilling";"5–12";"YES";"http://www.kindercare.com/";"NAEYC";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"21st Street KinderCare";;"8930 East 21st St.";;"Indianapolis";"IN";46219;"317-897-9918";;"MARION";;;;"Amanda";"Bennett";"5–12";"YES";"http://www.kindercare.com/";"NAEYC";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"Woodland Drive KinderCare";;"7221 Woodland Dr.";;"Indianapolis";"IN";46278;"317-291-4314";;"MARION";;;;"Tyaisha";"Powell";"5–12";"YES";"http://www.kindercare.com/";"NECPA, NAEYC";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"Graham Road KinderCare";;"7030 Graham Rd.";;"Indianapolis";"IN";46220;"317-849-1493";;"MARION";;;;"Michelle";"Edwards";"5–12";"YES";"http://www.kindercare.com/";"NECPA, NAEYC";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
"Intech Park KinderCare";;"7010 Intech Blvd.";;"Indianapolis";"IN";46278;"317-608-0926";;"MARION";;;;"Lynn";"Turman";"5–12";"YES";"http://www.kindercare.com/";"NECPA";;;;;"Even after school's out for the day, children need to be engaged in a comfortable, yet stimulating environment. That's where our Catch the Wave® program comes in. This innovative before - and after-school program allows school-age children to balance learning and fun through a variety of experiences. From homework help to fun physical activities, our program is designed so that everyone goes home happy.";;;"YES";"NO";;
