"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"EARLY CONNECTIONS LEARNING CENTERS - SAND CREEK SCHOOL-AGE PROGRAM";;"550 Sand Creek Drive";;"Colorado Springs";"CO";80916;"719-632-1754";1500;"EL PASO";;;;;;"5–12";;"http://www.earlyconnections.org/";;"Monday - Friday";;;;"Early Connections’ school age program is offered before and after school and full days during all school holidays and breaks. Every day includes: lively and quiet activities; homework support; indoor and outdoor play; cooperative and competitive experiences; individual and group activities. The summer program is built around weekly themes and keeps the kids engaged and on the go with lots of entertaining, educational and fun field trips. Located at Sand Creek Elementary School in Harrison School District Two, these programs provide children with classroom space that includes a safe, healthy and fun environment to complement their school day and allows children to explore their interests and talents.";"Lively and Quiet Activities, Homework Support, Indoor and Outdoor Play, Cooperative and Competitive Experiences, Individual and Group Activities";;"YES";"NO";"http://www.earlyconnections.org/wp-content/themes/ECLC/images/ec-footer.jpg";
"EARLY CONNECTIONS LEARNING CENTERS - THE DAY NURSERY SCHOOL-AGE PROGRAM";;"104 E. Rio Grande";;"Colorado Springs";"CO";80903;"719-632-1754";1100;"EL PASO";;;;;;"5–13";"YES";"http://www.earlyconnections.org/";;"Monday - Friday";;;;"Children attending District 11 Columbia Elementary School are bussed to and from school and the Day Nursery. Families residing outside of District 11 but enrolled at the Day Nursery may attend Columbia Elementary and receive the transportation benefit. Children attending another elementary school may enroll at the Day Nursery, however, transportation must be supplied by the parents. Enrollment is offered year-round on a space available basis.";;;"YES";"NO";"http://www.earlyconnections.org/wp-content/themes/ECLC/images/ec-footer.jpg";
"COLORADO SPRINGS CONSERVATORY - NOVICE PROGRAM";;"415 S Sahwatch St.";;"Colorado Springs";"CO";80903;"719-577-4556";;"EL PASO";"csc@csconservatory.org";;;;;;;"https://www.coloradospringsconservatory.org/";;"Wednesday";"4:30pm - 6:15pm";;;"Novice Program for Pre-K (4yrs) - 2nd graders: The Novice Program is a non-auditioned program designed to provide our youngest students with many components of the music and theater curricula offered for older students in a comprehensive, age appropriate manner. The Novice Program curriculum includes: Piano studies in the Yamaha digital piano lab, singing, basic music theory, violin, elements of dance, and basic theater fundamentals from improvisation to ensemble work and theater games. Students are grouped by age and/or proficiency level. Annual Tuition $1170";;"Annual Tuition $1170";"YES";"NO";;
"COLORADO SPRINGS CONSERVATORY - APPRENTICE PROGRAM";;"415 S Sahwatch St.";;"Colorado Springs";"CO";80903;"719-577-4556";;"EL PASO";"csc@csconservatory.org";;;;;;;"https://www.coloradospringsconservatory.org/";;"Monday";"4:30pm - 6:45pm";;;"Apprentice Program for 3rd – 6th graders: The Apprentice Program is a non-auditioned comprehensive program allowing students to explore and engage in the many facets of the performing arts. The Apprentice curriculum includes: Studio/performance class, piano studies in the Yamaha digital piano lab, composition, music theory, elements of dance and theater studies from movement to improvisation and theater technique. Each student receives a weekly 30-minute private lesson in addition to classes. Students are grouped by age and/or proficiency levels. Apprentice Pre COMPANY - Mondays 4:30-7:15pm: Students who consistently demonstrate that they are ready for a more advanced level of study may be invited by instructors to participate in the Apprentice Pre COMPANY. Annual Tuition $2115";;"Annual Tuition $2115";"YES";"NO";;
"COLORADO SPRINGS CONSERVATORY - ENRICHMENT PROGRAM";;"415 S Sahwatch St.";;"Colorado Springs";"CO";80903;"719-577-4556";;"EL PASO";"csc@csconservatory.org";;;;;;;"https://www.coloradospringsconservatory.org/";;"Wednesday";"5:30pm - 8:00pm";;;"Enrichment Program for 7th- 12th graders: The CSC Enrichment Program allows students to experience music and theater through performance opportunities and instruction with the nationally-acclaimed CSC faculty and guest artists. This non-auditioned program offers students positive peer interaction in a non-competitive and inclusive environment. Each student will choose 2 electives per semester and in addition will receive a weekly 30-minute private lesson and a weekly studio/performance class.";;;"YES";"NO";;
"EVERGREEN PARK & RECREATION SCHOOL AGE BEFORE/AFTER CARE PROGRAMS @ WULF RECREATION CENTER";;"5300 S Olive Road";;"Evergreen";"CO";80439;"720-880-1218";;"JEFFERSON";"tsutton@eprd.co";;;"Todd";"Sutton";"5–14";"YES";"http://www.evergreenrecreation.com/";;"Monday - Friday";"Before Care: 6:30am - 9:00am, After Care: 3:30pm - 6:00pm, Full Day Care: 8:00am - 4:00pm/6:30am - 6:00pm";;;"Evergreen Park & Recreation District is committed to meeting your family’s needs by offering quality professional school age childcare programs for ages 5-14 years old at two locations. Our programs are licensed by the State of Colorado and follow all school age childcare regulations. Youth are provided a safe place to participate in fun active & passive games, art and crafts, homework time, and Friday field trips. A healthy snack is provided each day. Programs provide flexible scheduling to meet our parent’s busy schedules. Before-school care participants will be transported in District vehicles from Wulf Recreation Center to Wilmot Elementary in the morning. After-school care participants will be transported from Wilmot Elementary to Wulf Recreation Center in the afternoon in District vehicles. ";"Fun Active amd Passive Games, Art and Crafts, Homework Time, Friday Field Trips, Healthy Snack";"Before Care: $13, After Care: $13, Full Day Care (8:00am - 4:00pm): $32, Full Day Care (6:30am - 6:00pm): $37";"YES";"NO";;
"EVERGREEN PARK & RECREATION SCHOOL AGE BEFORE/AFTER CARE PROGRAMS @ BERGEN VALLEY ELEMENTARY SCHOOL";;"1422 Sugarbush Drive";;"Evergreen";"CO";80439;"720-880-1218";;"JEFFERSON";"tsutton@eprd.co";;;"Todd";"Sutton";"5–14";"YES";"http://www.evergreenrecreation.com/";;"Monday - Friday";"Before Care: 6:30am - 9:00am, After Care: 3:20pm - 6:30pm, Full Day Care: 8:00am - 4:00pm/6:30am - 6:00pm";;;"Evergreen Park & Recreation District is committed to meeting your family’s needs by offering quality professional school age childcare programs for ages 5-14 years old at two locations. Our programs are licensed by the State of Colorado and follow all school age childcare regulations. Youth are provided a safe place to participate in fun active & passive games, art and crafts, homework time, and Friday field trips. A healthy snack is provided each day. Programs provide flexible scheduling to meet our parent’s busy schedules. Before-school care participants from Bergen Meadow Elementary ride a Jefferson County School District bus from Bergen Valley Elementary to Bergen Meadow Elementary in the morning. After-school care participants from Bergen Meadow Elementary ride an Evergreen Park & Recreation District vehicle to Bergen Valley Elementary in the afternoon. King Murphy Elementary students have the opportunity to take a bus to Bergen Valley Elementary for after-school care. Parents are responsible to coordinate transportation with the school. ";"Fun Active amd Passive Games, Art and Crafts, Homework Time, Friday Field Trips, Healthy Snack";"Before Care: $13, After Care: $13, Full Day Care (8:00am - 4:00pm): $32, Full Day Care (6:30am - 6:00pm): $37";"YES";"NO";;
"PUEBLO PARKS AND RECREATION BEFORE AND AFTER SCHOOL PROGRAM @ IRVING ELEMENTARY SCHOOL";;"1629 W 21st St";;"Pueblo";"CO";81003;"719-553-2790";;"PUEBLO";;;;;;;;"http://www.pueblo.us/";;"Monday - Thursday";"7:00 am - 8:00am / 3:00pm - 5:30pm";;;"Quality care is provided free-of-charge at Irving Elementary school on school days before and after school. During this time, children will participate in various physical activities, games, and more.";;;"YES";"NO";;
"THE ZONE AFTER SCHOOL PROGRAM";;"1050 Lashley St.";;"Longmont";"CO ";80504;"303-651-8580";;"WELD";"mariana.barron@longmontcolorado.gov";;;"Mariana";"Barron";;;"http://www.longmontcolorado.gov/";;"Monday - Friday";"Mon, Wed, Fri: 2:30pm - 7:00pm, Tues, Thurs: 2:30pm - 6:00pm";;;"If your children attend to the St. Vrain Valley School District, check out our after-school program. Your child can join us every afternoon. ""The Zone"" is located on the lower level of the Children,Youth and Families building at 1050 Lashley St. It is a free, city sponsored program for youth. Starting in the sixth grade and going through 17 years of age, youth participate in a variety of recreation-based programs. We offer quality after school programming, services and activities for school age youth. Staff engages youth in project based learning activities that will enhance their academic, cultural, social skills and competencies. Our activities encourage involvement and build skills in leadership, problem solving, and communication. We incorporate physical activity, expression through the arts, dance/movement, written/spoken word and exploration of new interests into our programs. ";;;"YES";"NO";;
"BLUE SKIES EXPLORATION ACADEMY BEFORE AND AFTER SCHOOL PROGRAM";;"1960 Dominion Way";;"Colorado Springs";"CO";80918;"719-590-1195";;"EL PASO";;;;;;;;"http://blueskiesea.com/";;;;;;"School age children are welcome to join Blue Skies for after care, for care on holidays, or for our summer programs. We offer an educationally stimulating environment for school age children up to 12 years of age. Our school age children are encouraged to express themselves creatively through both art and science. They can use the dedicated Art Studio to explore many mediums and styles or head out to the garden area to work on scientific investigations. When they are here the school agers enjoy time helping to take care of our colony of bunnies. We hope to add to the school agers growing abilities by offering them a chance to help out in the younger classrooms. They have the opportunity to read with younger children, solve problems with the younger classes, and even model appropriate classroom and playground behaviors. This not only gives the school ager a boost in self-esteem but it allows the younger children to see someone closer to their age achieve the praise of the teachers. During the warmer breaks the school age children can often be found taking walking field trips to the local parks, and mini golf courses. When appropriate we schedule to have science shows, musicians, or story tellers to come in to entertain and educate us. Our goal with the school age program is to create a safe, friendly, atmosphere in which the children can practice the skills they are learning during the school day as well as expand their horizons. We want to help them become well rounded young people. It is always a joy to have the school aged children visit-whether for a few hours, a day, or even a week. It is great to see how much they have grown and learned.";;;"YES";"NO";;
